Município;Agropecuária;Extrativa mineral;Indústria de transformação;Construção civil;Serviços industriais de utilidade pública;Comércio;Serviços;Administração pública
Riacho das Almas;156;-;158;9;-;81;-;807
Ribeirão;620;-;741;61;72;406;72;1032
Rio Formoso;288;-;6146;-;-;200;-;596
Sairé;58;-;43;7;-;79;-;730
Salgadinho;13;-;-;-;-;11;-;256
Salgueiro;53;41;174;9385;10;1720;10;1507
Saloá;-;-;24;-;-;84;-;853
Sanharó;8;-;71;43;19;180;19;761
Santa Cruz;-;-;10;3;-;47;-;566
Santa Cruz da Baixa Verde;2;-;9;-;-;31;-;400
Santa Cruz do Capibaribe;32;3;4386;184;6;2598;6;1876
Santa Filomena;-;-;-;-;-;40;-;302
Santa Maria da Boa Vista;182;9;84;3;3;339;3;1213
Santa Maria do Cambucá;1;3;30;-;-;18;-;463
Santa Terezinha;-;-;3;-;-;57;-;557
São Benedito do Sul;130;-;18;-;-;21;-;543
São Bento do Una;1374;-;260;7;-;469;-;1726
São Caitano;16;-;532;12;-;359;-;1119
São João;5;-;5;13;-;62;-;868
São Joaquim do Monte;25;-;5;-;-;83;-;1101
São José da Coroa Grande;57;-;47;-;-;383;-;678
São José do Belmonte;-;1;126;94;7;265;7;1545
São José do Egito;244;-;220;24;6;563;6;925
São Lourenço da Mata;24;-;1324;507;-;1452;-;2922
São Vicente Ferrer;281;-;19;-;-;101;-;886
Serra Talhada;50;30;515;970;59;3500;59;1827
Serrita;-;-;-;9;-;77;-;650
Sertânia;38;16;109;540;-;329;-;1062
Sirinhaém;261;-;5252;21;-;442;-;1070
Moreilândia;-;-;-;-;-;17;-;616
Solidão;-;-;13;-;-;3;-;6
Surubim;34;3;815;72;1;1339;1;1729
Tabira;-;-;135;18;-;310;-;712
Tacaimbó;1;-;384;16;6;54;6;527
Tacaratu;17;-;57;14;-;83;-;842
Tamandaré;111;-;2308;115;-;264;-;750
Taquaritinga do Norte;54;9;879;25;-;140;-;865
Terezinha;3;-;-;2;-;5;-;289
Terra Nova;1;-;-;-;-;40;-;349
Timbaúba;308;-;5555;97;6;1964;6;1991
Toritama;37;-;1675;54;-;1125;-;1129
Tracunhaém;142;-;1;3;-;44;-;493
Trindade;2;35;1450;14;-;355;-;824
Triunfo;16;-;15;7;19;208;19;447
Tupanatinga;-;-;-;-;-;54;-;1001
Tuparetama;14;-;18;-;-;70;-;11
Venturosa;-;-;65;4;-;124;-;690
Verdejante;-;-;21;5;-;16;-;495
Vertente do Lério;1;31;170;-;-;8;-;536
Vertentes;55;19;91;-;-;131;-;460
Vicência;432;-;3215;52;-;187;-;1539
Vitória de Santo Antão;418;127;7024;238;16;3662;16;2996
Xexéu;430;-;1;-;7;56;7;622
