Municipio,Agropecuaria,Extrativa mineral,Industria de transformacao,Construcao civil,Servicos industriais de utilidade publica,Comercio,Servicos,Administracao publica,Total
Taquaritinga do Norte,54,9,879,25,0,140,0,865,1972
Terezinha,3,0,0,2,0,5,0,289,299
Toritama,37,0,1675,54,0,1125,0,1129,4020
Tupanatinga,0,0,0,0,0,54,0,1001,1055
Venturosa,0,0,65,4,0,124,0,690,883
Vertente do Lério,1,31,170,0,0,8,0,536,746
Vertentes,55,19,91,0,0,131,0,460,756
Chã de Alegria,5,0,4,0,0,69,0,576,654
Chã Grande,183,0,29,98,0,160,0,867,1337
Glória do Goitá,102,0,103,2,0,154,0,873,1234
Pombos,229,0,53,46,0,363,0,806,1497
Vitória de Santo Antão,418,127,7024,238,16,3662,16,2996,14497
Aliança,1464,0,139,4,0,419,0,1272,3298
Buenos Aires,140,0,167,0,0,69,0,426,802
Camutanga,14,0,4470,0,0,51,0,540,5075
Carpina,444,26,2244,209,94,2734,94,1781,7626
Condado,94,0,45,0,6,271,6,927,1349
Ferreiros,126,0,247,17,0,122,0,390,902
Goiana,4342,50,2327,183,15,2091,15,2044,11067
Itambé,613,0,304,3,0,773,0,1356,3049
Itaquitinga,176,5,24,939,0,79,0,971,2194
Lagoa do Carro,153,0,208,1,0,142,0,637,1141
Lagoa do Itaenga,50,0,5321,7,0,162,0,1059,6599
Macaparana,305,0,39,0,0,273,0,946,1563
Nazaré da Mata,351,0,1182,10,0,515,0,1068,3126
Paudalho,1144,0,1528,57,0,575,0,1790,5094
Timbaúba,308,0,5555,97,6,1964,6,1991,9927
Tracunhaém,142,0,1,3,0,44,0,493,683
Vicência,432,0,3215,52,0,187,0,1539,5425
Água Preta,330,0,73,4,31,91,31,1206,1766
Amaraji,103,0,503,1,9,147,9,1076,1848
Barreiros,593,15,112,69,10,847,10,1505,3161
Belém de Maria,4,0,5,0,0,34,0,540,583
Catende,24,0,1892,2,17,294,17,2071,4317
Cortês,69,0,2879,3,0,48,0,680,3679
Escada,620,0,4592,201,9,1138,9,2463,9032
Gameleira,360,0,22,0,14,95,14,686,1191
Jaqueira,178,0,6,0,0,47,0,540,771
Joaquim Nabuco,0,0,4048,20,0,50,0,730,4848
Maraial,2058,0,187,0,0,38,0,529,2812
Palmares,2053,0,445,183,95,2026,95,2258,7155
Primavera,43,0,13,16,0,135,0,453,660
Quipapá,22,0,8,19,0,87,0,1052,1188
Ribeirão,620,0,741,61,72,406,72,1032,3004
Rio Formoso,288,0,6146,0,0,200,0,596,7230
São Benedito do Sul,130,0,18,0,0,21,0,543,712
São José da Coroa Grande,57,0,47,0,0,383,0,678,1165
Sirinhaém,261,0,5252,21,0,442,0,1070,7046
Tamandaré,111,0,2308,115,0,264,0,750,3548
Xexéu,430,0,1,0,7,56,7,622,1123
Abreu e Lima,26,0,3139,256,29,2033,29,1587,7099
Araçoiaba,3,0,3,85,0,67,0,561,719
Cabo de Santo Agostinho,3813,0,9316,3425,460,4637,460,6223,28334
Camaragibe,199,0,1297,478,15,2634,15,3054,7692
Fernando de Noronha,2,0,37,11,2,223,2,0,277
Igarassu,144,29,10071,1186,83,1642,83,3123,16361
Ilha de Itamaracá,15,0,48,36,1,197,1,782,1080
Ipojuca,217,39,11385,19263,18,2755,18,3926,37621
Itapissuma,210,1,1583,97,0,195,0,1283,3369
Jaboatão dos Guararapes,513,270,19013,3521,3201,18457,3201,10209,58385
Moreno,1039,26,824,180,42,527,42,1487,4167
Olinda,93,5,4692,7619,1504,10269,1504,7960,33646
Paulista,295,37,6601,1478,95,6121,95,5634,20356
Recife,2618,486,39405,58746,10238,115971,10238,176785,414487
São Lourenço da Mata,24,0,1324,507,0,1452,0,2922,6229
